Authors;Title;ID;Date;Konsortium;Publication Type;Quelle;Duplikat / Preprint
Fruzsina Molnár-Gábor, Jan Korbel;Das Deutsche Humangenom-Phenomarchiv;10.26125/7K2X-DP05;2021;Konsortium: GHGA;journalArticle;Quelle: Publikationsseite GHGA;
Ida Lindgren, Csaba Csáki, Evangelos Kalampokis, Marijn Janssen, Gabriela Viale Pereira, Shefali Virkar, Efthimios Tambouris, Anneke Zuiderwijk, Bianca Wentzel, Fabian Kirstein, Torben Jastrow, Raphael Sturm, Michael Peters, Sonja Schimmler;An Extensive Methodology and Framework for Quality Assessment of DCAT-AP Datasets;DOI: 10.1007/978-3-031-41138-0_17;2023;Konsortium: NFDI4DataScience;bookSection;Quelle: Dimensons;
Hisashi Kashima, Tsuyoshi Ide, Wen-Chih Peng, Tobias Weber, Michael Ingrisch, Bernd Bischl, David Rügamer;Cascaded Latent Diffusion Models for High-Resolution Chest X-ray Synthesis;DOI: 10.1007/978-3-031-33380-4_14;2023;Konsortium: BERD@NFDI;bookSection;Quelle: Dimensons;ja
Ruben Verborgh, Anastasia Dimou, Aidan Hogan, Claudia d'Amato, Ilaria Tiddi, Arne Bröring, Simon Mayer, Femke Ongenae, Riccardo Tommasini, Mehwish Alam, Renat Shigapov, Jörg Mechnich, Irene Schumm;RaiseWikibase: Fast Inserts into the BERD Instance;10.1007/978-3-030-80418-3_11;2021;Konsortium: BERD@NFDI;conferencePaper;Quelle: Publikationsseite BERD@NFDI;
Gianmaria Silvello, Oscar Corcho, Paolo Manghi, Giorgio Maria Di Nunzio, Koraljka Golub, Nicola Ferro, Antonella Poggi, Yusra Shakeel, Abhisar Bharti, Thomas Leich, Gunter Saake;Weighted Altmetric Scores to Facilitate Literature Analyses;DOI: 10.1007/978-3-031-16802-4_46;2022;Konsortium: MatWerk;bookSection;Quelle: Dimensons;
Danai Koutra, Claudia Plant, Manuel Gomez Rodriguez, Elena Baralis, Francesco Bonchi, Lukas Rauch, Matthias Aßenmacher, Denis Huseljic, Moritz Wirth, Bernd Bischl, Bernhard Sick;ActiveGLAE: A Benchmark for Deep Active Learning with Transformers;DOI: 10.1007/978-3-031-43412-9_4;2023;Konsortium: BERD@NFDI;bookSection;Quelle: Dimensons;ja
Sander Münster, Aaron Pattee, Cindy Kröber, Florian Niebling, Heike Messemer;Potentials for Research in Urban History–Online Research Tool 4D Community Browser;DOI: 10.1007/978-3-031-38871-2_3;2023;Konsortium: NFDI4Culture;bookSection;Quelle: Dimensons;
Massih-Reza Amini, Stéphane Canu, Asja Fischer, Tias Guns, Petra Kralj Novak, Grigorios Tsoumakas, Elisabeth Lebmeier, Matthias Aßenmacher, Christian Heumann;On the Current State of Reproducibility and Reporting of Uncertainty for Aspect-Based Sentiment Analysis;DOI: 10.1007/978-3-031-26390-3_31;2023;Konsortium: BERD@NFDI;bookSection;Quelle: Dimensons;
Alexander Sychev, Sergey Makhortov, Bernhard Thalheim, Martin T. Horsch, Silvia Chiacchiera, Michael A. Seaton, Ilian T. Todorov, Björn Schembera, Peter Klein, Natalia A. Konchakova;Pragmatic Interoperability and Translation of Industrial Engineering Problems into Modelling and Simulation Solutions;DOI: 10.1007/978-3-030-81200-3_4;2021;Konsortium: NFDI4Cat;bookSection;Quelle: Dimensons;
Alexei Pozanenko, Sergey Stupnikov, Bernhard Thalheim, Eva Mendez, Nadezhda Kiselyova, Martin Horsch, Taras Petrenko, Volodymyr Kushnarenko, Bjoern Schembera, Bianca Wentzel, Alexander Behr, Norbert Kockmann, Sonja Schimmler, Thomas Bönisch;Interoperability and Architecture Requirements Analysis and Metadata Standardization for a Research Data Infrastructure in Catalysis;DOI: 10.1007/978-3-031-12285-9_10;2022;Konsortium: NFDI4Cat;bookSection;Quelle: Scopus;
